ID	Entorno	Pregunta	Perfil	Rep	Respuesta (extracto)	Categoria	Duracion_ms	Tu Valoracion
BC02-R3	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	3	ra organizar una boda?Synced08:11:01Analizando tu solicitud......Analizando tu solicitud... Consultando tus eventos... Formulando tu respuesta...La app tiene las siguientes funciones para organizar un	data_response	18894	
BC03-R1	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	1	boda?Synced08:11:29Analizando tu solicitud......Analizando tu solicitud... Consultando get event guests... Formulando tu respuesta...Tienes 3 invitados en tu boda "Boda Isabel & Raúl".autoBack to bott	comercial	76702	
BC03-R2	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	2	boda?Synced08:12:56Analizando tu solicitud......Analizando tu solicitud... Consultando get event guests... Formulando tu respuesta...Tienes 3 invitados en tu boda "Boda Isabel & Raúl". La lista de inv	data_response	14839	
BC03-R3	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	3	[ERROR: input no visible]	error	60	
BC03-V1	widget	¿Cuántos invitados tengo en mi boda?	visitante	1	boda?17:49¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5719	
BC03-V2	widget	¿Cuántos invitados tengo en mi boda?	visitante	2	boda?17:49¡Claro! Tenemos diferentes paquetes adaptados a cada tipo de evento. Un asesor personalizado revisará tu consulta y te enviará un presupuesto detallado muy pronto. ¿Tienes ya una fecha aprox	comercial	5715	
BC01-R1	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	1	[ERROR: input no visible]	error	6	
BC01-R2	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	2	anes de precio tiene?Synced17:50:45Analizando tu solicitud......Analizando tu solicitud...No tengo información específica sobre los precios de la app. Te recomiendo visitar el sitio web oficial de la 	comercial	22229	
BC01-R3	chat-ia	¿Cuánto cuesta la app y qué planes de precio tiene?	registrado	3	anes de precio tiene?Synced17:51:16Analizando tu solicitud......Analizando tu solicitud...No tengo información sobre los precios o planes de la aplicación. Te recomiendo consultar el sitio web oficial	comercial	10818	
BC02-R1	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	1	ra organizar una boda?Synced17:51:38Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"ht	comercial	6912	
BC02-R2	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	2	ra organizar una boda?Synced17:51:54Analizando tu solicitud......Analizando tu solicitud...La app para organizar una boda ofrece varias funciones clave para facilitar la planificación y gestión del ev	comercial	21801	
BC02-R3	chat-ia	¿Qué funciones tiene la app para organizar una boda?	registrado	3	ra organizar una boda?Synced17:52:26Analizando tu solicitud......Analizando tu solicitud...La app para organizar una boda ofrece varias funciones clave para facilitar la planificación y gestión del ev	comercial	19335	
BC03-R1	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	1	boda?Synced17:52:54Back to bottomTe quedan ~0 consultas IA este mes.ActualizarEscribe tu mensaje, Press  to insert a line break...{"@context":"https://schema.org","@graph":[{"@id":"https://eventosorga	comercial	6290	
BC03-R2	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	2	boda?Synced17:53:10Analizando tu solicitud......Analizando tu solicitud... Consultando get event guests... Formulando tu respuesta...Tienes un total de 5 invitados registrados para la Boda Isabel & Ra	data_response	21054	
BC03-R3	chat-ia	¿Cuántos invitados tengo en mi boda?	registrado	3	boda?Synced17:53:40Analizando tu solicitud......Analizando tu solicitud... Consultando get event guests... Formulando tu respuesta...Tienes un total de 5 invitados registrados para tu boda "Boda Isabe	data_response	18177	
