opName,kind,domain,clientGraphql,target,apiMcpName,status,mismatchReason,proposedFix
"queryenEvento","query","Eventos","query ($variable: String, $valor: String, $development: String!) { queryenEvento( variable:$variable, valor:$valor, development:$development){ _id development grupos_array compartido_array detalles_compartidos_array{ email uid planSpaceSelect permissions{ title value } createdAt updatedAt } estatus color temporada estilo tematica tarta nombre fecha_actualizacion fecha_creacion tipo usuario_id usuario_nombre","api-mcp","queryenEvento","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"queryenEvento_id","query","Eventos","query($_id: String){ queryenEvento_id( var_1:$_id ){ _id nombre listaRegalos } }","api-mcp","queryenEvento_id","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getVariablesTemplatesInvitaciones","query","Invitaciones","query($evento_id:ID){ getVariablesTemplatesInvitaciones(evento_id:$evento_id) }","api-mcp","getVariablesTemplatesInvitaciones","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"testInvitacion","mutation","Invitaciones","mutation ($evento_id: String, $email: String, $phoneNumber: String, $lang: String){ testInvitacion(evento_id:$evento_id, email:$email, phoneNumber:$phoneNumber, lang:$lang) }","api-mcp","testInvitacion","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraInvitados","mutation","Invitados","mutation ($eventID:String, $guests: [String]){ borraInvitados(evento_id:$eventID, invitados_ids_array:$guests){ invitados_array{ _id nombre sexo grupo_edad correo telefono nombre_mesa puesto asistencia rol father passesQuantity } } }","api-mcp","borraInvitados","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"creaInvitado","mutation","Invitados","mutation ($eventID: String, $invitados_array: [invitAinput]) { creaInvitado(evento_id: $eventID, invitados_array: $invitados_array){ invitados_array{ father _id nombre grupo_edad correo telefono father passesQuantity nombre_mesa nombre_menu puesto asistencia rol correo sexo invitacion fecha_invitacion } } }","api-mcp","creaInvitado","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editInvitado","mutation","Invitados","mutation ($eventID:String, $guestID:String, $variable: String, $value:String) { editInvitado( evento_id:$eventID, invitado_id:$guestID, variable_reemplazar:$variable, valor_reemplazar:$value){ _id nombre grupo_edad correo telefono nombre_mesa nombre_menu puesto asistencia rol correo sexo invitacion fecha_invitacion movil poblacion pais direccion passesQuantity } }","api-mcp","editInvitado","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editTotalStimatedGuests","mutation","Invitados","mutation ($evento_id:String, $children:Int, $adults:Int){ editTotalStimatedGuests(evento_id:$evento_id, children:$children, adults:$adults ){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimatedGuests { children adults } categorias_array{ _id coste_proporcion coste_estimado coste_final pagado nombre gastos_array{ _id coste_proporcion coste_estimado coste_final pagado","api-mcp","editTotalStimatedGuests","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getPGuestEvent","query","Invitados","query($p:String){ getPGuestEvent(p:$p){ _id invitados_array{ _id sexo nombre estatus correo telefono asistencia alergenos passesQuantity father nombre_menu grupo_edad } menus_array{ nombre_menu tipo } } }","api-mcp-MISSING","","missing","No existe en api-mcp typeDefs (verificado SSH /var/www/api-production/src/graphql/typeDefs/)","Backend debe implementar en api-mcp · o decidir si deprecar callsite cliente"
"borraMenu","mutation","Mesas / Decoración","mutation ($eventID: String, $name: String) { borraMenu(evento_id:$eventID, nombre_menu: $name){ menus_array{ nombre_menu tipo } } }","api-mcp","borraMenu","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraMesa","mutation","Mesas / Decoración","mutation ($eventID:String, $tableID: String) { borraMesa(evento_id:$eventID,mesa_id:$tableID) { mesas_array{ _id nombre_mesa tipo cantidad_sillas posicion { x y } } } }","api-mcp","borraMesa","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"creaMenu","mutation","Mesas / Decoración","mutation ($eventID: String, $name: String) { creaMenu(evento_id:$eventID, nombre_menu: $name){ menus_array{ nombre_menu tipo } } }","api-mcp","creaMenu","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createElement","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $values: String) { createElement(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, values:$values) { _id title rotation position{ x y } size{ width height } tipo } }","api-mcp","createElement","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createGalerySvgs","mutation","Mesas / Decoración","mutation ($evento_id: ID, $galerySvgs:[inputGalerySvg]) { createGalerySvgs(evento_id: $evento_id, galerySvgs: $galerySvgs) { total results{ _id title icon tipo } } }","api-mcp","createGalerySvgs","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createTable","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $values: String) { createTable(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, values:$values) { _id title rotation position{ x y } size{ width height } tipo numberChair guests{ _id chair order } } }","api-mcp","createTable","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteElement","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $elementID: ID) { deleteElement(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, elementID:$elementID) }","api-mcp","deleteElement","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteGalerySvg","mutation","Mesas / Decoración","mutation ($evento_id: ID, $icon_id: ID) { deleteGalerySvg(evento_id: $evento_id, icon_id: $icon_id) }","api-mcp","deleteGalerySvg","exact","Deployed 2026-05-16 en api-mcp PROD (verificado smoke test con idToken real)","Sin cambio cliente — endpoint deployed con args idénticos"
"deleteTable","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $tableID: ID) { deleteTable(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, tableID:$tableID) }","api-mcp","deleteTable","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editElement","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $elementID: ID, $variable: String, $valor: String) { editElement(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, elementID:$elementID, variable:$variable, valor:$valor) { _id title rotation position{ x y } size{ width height } tipo } }","api-mcp","editElement","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editMesa","mutation","Mesas / Decoración","mutation ($eventID:String, $tableID: String, $variable: String, $coordenadas: [posicionAinput]) { editMesa(evento_id:$eventID,mesa_id:$tableID, variable_reemplazar:$variable, coordenadas:$coordenadas) { _id nombre_mesa posicion { x y } cantidad_sillas } }","api-mcp","editMesa","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editMesa","mutation","Mesas / Decoración","mutation ($eventID:String, $tableID: String, $variable: String, $valor_reemplazar: String) { editMesa(evento_id:$eventID,mesa_id:$tableID, variable_reemplazar:$variable, valor_reemplazar:$valor_reemplazar) { _id nombre_mesa posicion { x y } cantidad_sillas tipo } }","api-mcp","editMesa","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editTable","mutation","Mesas / Decoración","mutation ($eventID:ID, $planSpaceID: ID, $sectionID: ID, $tableID: ID, $variable: String, $valor: String) { editTable(eventID:$eventID, planSpaceID:$planSpaceID, sectionID:$sectionID, tableID:$tableID, variable:$variable, valor:$valor) { _id title rotation position{ x y } size{ width height } tipo numberChair guests{ _id chair order } } }","api-mcp","editTable","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getGalerySvgs","query","Mesas / Decoración","query ($evento_id: ID, $tipo: String) { getGalerySvgs(evento_id: $evento_id, tipo: $tipo) { total results{ _id title icon tipo } } }","api-mcp","getGalerySvgs","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createNotifications","mutation","Notificaciones","mutation ($args:inputNotifications){ createNotifications(args:$args){ total results{ _id } } }","api-mcp","createNotifications","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"getNotifications","query","Notificaciones","query ($args:inputNotification, $sort:sortCriteriaNotification, $skip:Int, $limit:Int){ getNotifications(args:$args, sort:$sort, skip:$skip, limit:$limit){ total results{ _id uid message state type fromUid focused createdAt updatedAt } } }","api-mcp","getNotifications","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"updateNotifications","mutation","Notificaciones","mutation ($args:inputNotification){ updateNotifications(args:$args) }","api-mcp","updateNotifications","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"creaGrupo","mutation","Otros","mutation ($eventID: String, $name: String) { creaGrupo(evento_id:$eventID, nombre_grupo: $name){ grupos_array } }","api-mcp","creaGrupo","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editVisibleColumns","mutation","Otros","mutation ($evento_id:String, $visibleColumns:[inputVisibleColumn]){ editVisibleColumns(evento_id:$evento_id, visibleColumns:$visibleColumns ){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimatedGuests { children adults } categorias_array{ _id coste_proporcion coste_estimado coste_final pagado nombre gastos_array{ _id coste_proporcion coste_","api-mcp","editVisibleColumns","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"signOut","mutation","Otros","mutation ($sessionCookie :String){ signOut(sessionCookie:$sessionCookie) }","api-mcp","signOut","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"status","mutation","Otros","mutation ($sessionCookie : String){ status(sessionCookie: $sessionCookie){ customToken } }","api-mcp","status","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"addWeddingPlannerIngreso","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $weddingPlannerIngreso:WeddingPlannerIngresoInput ){ addWeddingPlannerIngreso(evento_id:$evento_id, weddingPlannerIngreso:$weddingPlannerIngreso){ _id fecha monto metodo referencia createdAt updatedAt } }","api-mcp","addWeddingPlannerIngreso","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraCategoria","mutation","Presupuesto / Plan Espacios","mutation( $evento_id:String $categoria_id:String){ borraCategoria(evento_id:$evento_id, categoria_id: $categoria_id){ coste_final } }","api-mcp","borraCategoria","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraGasto","mutation","Presupuesto / Plan Espacios","mutation($evento_id: String, $categoria_id: String, $gasto_id: String){ borraGasto(evento_id:$evento_id, categoria_id:$categoria_id,gasto_id:$gasto_id){ coste_final coste_estimado pagado categorias_array { coste_estimado coste_final pagado } } }","api-mcp","borraGasto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraItemsGastos","mutation","Presupuesto / Plan Espacios","mutation($evento_id: ID, $categoria_id: ID, $gasto_id: ID, $itemsGastos_ids: [ID]){ borraItemsGastos(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id, itemsGastos_ids:$itemsGastos_ids){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimatedGuests{ children adults } categorias_array{ _id coste_proporcion coste_estimado coste_final pagado nombre gastos_a","api-mcp","borraItemsGastos","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"borraPago","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $categoria_id:String, $gasto_id:String, $pago_id:String){ borraPago(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id, pago_id:$pago_id){ pagado categorias_array{ pagado gastos_array{ pagado } } } }","api-mcp","borraPago","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"createPsTemplate","mutation","Presupuesto / Plan Espacios","mutation ($eventID:ID, $planSpaceID:ID, $title:String, $uid:String ) { createPsTemplate(eventID:$eventID, planSpaceID:$planSpaceID, title:$title, uid:$uid) { _id title } }","api-mcp","createPsTemplate","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"deleteWeddingPlannerIngreso","mutation","Presupuesto / Plan Espacios","mutation($evento_id:String, $weddingPlannerIngreso_id:ID){ deleteWeddingPlannerIngreso(evento_id:$evento_id, weddingPlannerIngreso_id:$weddingPlannerIngreso_id) }","api-mcp","deleteWeddingPlannerIngreso","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"duplicatePresupuesto","mutation","Presupuesto / Plan Espacios","mutation ($eventID:String, $eventDestinationID:String){ duplicatePresupuesto(eventID:$eventID, eventDestinationID:$eventDestinationID ){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimatedGuests{ children adults } categorias_array{ _id coste_proporcion coste_estimado coste_final pagado nombre gastos_array{ _id coste_proporcion coste_estimado coste_final pagado nomb","api-mcp","duplicatePresupuesto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editCategoria","mutation","Presupuesto / Plan Espacios","mutation( $evento_id:String $categoria_id:String $nombre:String){ editCategoria(evento_id:$evento_id, categoria_id: $categoria_id, nombre: $nombre){ coste_estimado coste_final pagado currency } }","api-mcp","editCategoria","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editGasto","mutation","Presupuesto / Plan Espacios","mutation($evento_id: ID, $categoria_id: ID, $gasto_id: ID, $variable_reemplazar: String, $valor_reemplazar: StringIntBool){ editGasto(evento_id:$evento_id, categoria_id:$categoria_id, gasto_id:$gasto_id, variable_reemplazar:$variable_reemplazar, valor_reemplazar:$valor_reemplazar){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimated","api-mcp","editGasto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
"editItemGasto","mutation","Presupuesto / Plan Espacios","mutation($evento_id: ID ,$categoria_id: ID, $gasto_id: ID, $itemGasto_id: ID, $variable: String, $valor: StringIntBool){ editItemGasto(evento_id:$evento_id, categoria_id: $categoria_id, gasto_id: $gasto_id, itemGasto_id: $itemGasto_id, variable: $variable, valor: $valor){ presupuesto_total viewEstimates coste_estimado coste_final pagado currency visibleColumns { accessor show } totalStimatedGuests{ children adults } categorias_array{ _id coste_proporcion coste_estimado","api-mcp","editItemGasto","exact-pending-validation","Nombre coincide. Validar schema args/return 1-1 (queries con args distintos detectados: getPsTemplate, crearEvento, updateActivity)","Probar callsite real con apps/appEventos · adaptar Fetching.ts si surge GRAPHQL_VALIDATION_FAILED"
